Id,Nombre,CostoUnitario,Iva
2499,Consola de videojuegos,9159392,0.19
1444,Tablet,7334848,0.19
2957,Smartphone,9767261,0.19
2741,Ratón óptico,3112583,0.19
608,Dron,8171163,0.19
564,Teclado mecánico,1397718,0.19
1258,Máquina de afeitar eléctrica,2120115,0.19
73,Altavoces Bluetooth,7655692,0.19
1014,Proyector,2345163,0.19
2656,Videocámara,2910995,0.19
2639,Reproductor de DVD/Blu-ray,1044716,0.19
2031,Reproductor de DVD/Blu-ray,2746685,0.19
2054,Batería externa,3901020,0.19
2140,Tablet,3758522,0.19
1948,Reloj inteligente para deportes,2448445,0.19
310,Tableta gráfica,8408969,0.19
1641,Auriculares inalámbricos,1156246,0.19
2887,Plancha de ropa con vapor,7268148,0.19
208,Monitor de computadora,6011945,0.19
1280,Consola de videojuegos,3777529,0.19
733,Monitor de computadora,6962118,0.19
1335,Linterna LED,2260704,0.19
2688,Monitor de computadora,6243007,0.19
9,Plancha de ropa con vapor,9544141,0.19
1575,Altavoces Bluetooth,8517418,0.19
636,Disco duro externo,686336,0.19
1705,Televisor,2246783,0.19
612,Linterna LED,8273748,0.19
2636,Batería externa,2219439,0.19
2815,Smartphone,7117136,0.19
2390,Dron,8086220,0.19
1988,Router inalámbrico,7470285,0.19
2435,Robot aspirador,7788826,0.19
1754,Linterna LED,9034170,0.19
837,Dron,1116099,0.19
721,Dron,849427,0.19
1157,Kit de realidad virtual (VR),8034387,0.19
893,Videocámara,4831026,0.19
1443,Dron,9147653,0.19
108,Dron,6398627,0.19
2394,Plancha de ropa con vapor,7774244,0.19
2566,Consola de videojuegos,5539887,0.19
4,Monitor de computadora,5070023,0.19
753,Cargador inalámbrico,2378245,0.19
527,Televisor,4480536,0.19
2870,Proyector,5716852,0.19
1242,Cámara digital,1093760,0.19
2386,Cargador inalámbrico,6480873,0.19
2398,Smartphone,3856920,0.19
2974,Kit de realidad virtual (VR),5005231,0.19
1391,Auriculares inalámbricos,1615550,0.19
315,Dron,3631287,0.19
2233,Laptop,3718362,0.19
2012,Reloj inteligente para deportes,6658220,0.19
375,Cámara digital,5219873,0.19
1932,Plancha de ropa con vapor,3382977,0.19
2246,Kit de realidad virtual (VR),2789849,0.19
889,Tablet,8371444,0.19
2088,Tablet,7514772,0.19
1753,Dron,7963418,0.19
2464,Reproductor de DVD/Blu-ray,7589917,0.19
2183,Videocámara,3600280,0.19
536,Disco duro externo,1142975,0.19
2321,Smartphone,3106514,0.19
1731,Auriculares inalámbricos,1886782,0.19
307,Máquina de afeitar eléctrica,4364594,0.19
347,Dron,6397342,0.19
2483,Batería externa,1119892,0.19
1507,Laptop,2023189,0.19
2912,Impresora,1029201,0.19
1966,Tablet,3779485,0.19
599,Cargador inalámbrico,4683665,0.19
1005,Laptop,7642783,0.19
2303,Dron,6420236,0.19
2423,Robot aspirador,8601963,0.19
1843,Videocámara,2006754,0.19
841,Disco duro externo,9734431,0.19
2041,Smartphone,2198979,0.19
470,Plancha de ropa con vapor,4433936,0.19
729,Laptop,2819752,0.19
2426,Altavoces Bluetooth,6004344,0.19
1125,Tablet,4983692,0.19
446,Proyector,1245018,0.19
2538,Tableta gráfica,6450049,0.19
2494,Linterna LED,515329,0.19
395,Proyector,4350401,0.19
330,Impresora,2543915,0.19
1334,Router inalámbrico,2385613,0.19
338,Smartphone,2578542,0.19
2530,Kit de realidad virtual (VR),9603733,0.19
885,Cargador inalámbrico,5252534,0.19
1554,Disco duro externo,4496015,0.19
2202,Auriculares inalámbricos,9214426,0.19
431,Auriculares inalámbricos,7432536,0.19
2343,Teclado mecánico,3783160,0.19
2687,Altavoces Bluetooth,6617515,0.19
2195,Sistema de sonido envolvente,1163798,0.19
301,Altavoces Bluetooth,9701315,0.19
1610,Videocámara,3895213,0.19
1531,Reproductor de DVD/Blu-ray,7432901,0.19
905,Disco duro externo,3796410,0.19
1826,Disco duro externo,1621359,0.19
361,Plancha de ropa con vapor,6407366,0.19
2068,Cámara digital,9158648,0.19
2148,Termostato inteligente,3281832,0.19
18,Batería externa,8792154,0.19
2290,Auriculares inalámbricos,904153,0.19
980,Altavoces Bluetooth,611645,0.19
2171,Disco duro externo,6432743,0.19
1811,Cargador inalámbrico,1791265,0.19
1885,Altavoces Bluetooth,8435932,0.19
1212,Televisor,7865344,0.19
135,Monitor de computadora,5756388,0.19
1079,Consola de videojuegos,5559118,0.19
99,Batería externa,1375367,0.19
1516,Batería externa,5001303,0.19
277,Disco duro externo,7409176,0.19
2210,Proyector,3180519,0.19
2982,Televisor,3071506,0.19
2033,Reloj inteligente para deportes,2035851,0.19
2069,Router inalámbrico,2671657,0.19
2416,Reloj inteligente para deportes,5020428,0.19
306,Smartwatch,3175877,0.19
1005,Proyector,995178,0.19
1768,Sistema de sonido envolvente,656349,0.19
2317,Disco duro externo,5874081,0.19
1960,Laptop,7033842,0.19
2939,Monitor de computadora,4703937,0.19
324,Proyector,1923032,0.19
2635,Plancha de ropa con vapor,8245297,0.19
889,Kit de realidad virtual (VR),1598517,0.19
1914,Batería externa,4222902,0.19
2786,Cargador inalámbrico,7803554,0.19
2692,Auriculares inalámbricos,6699864,0.19
1300,Consola de videojuegos,1949400,0.19
8,Linterna LED,6939621,0.19
2103,Consola de videojuegos,7825105,0.19
1671,Ratón óptico,8381564,0.19
2358,Máquina de afeitar eléctrica,9008531,0.19
2655,Consola de videojuegos,8562846,0.19
955,Auriculares inalámbricos,545562,0.19
1980,Cámara digital,9711075,0.19
2819,Dron,7192815,0.19
872,Reproductor de DVD/Blu-ray,4722614,0.19
521,Máquina de afeitar eléctrica,5972651,0.19
2877,Proyector,9543695,0.19
85,Auriculares inalámbricos,3015204,0.19
1952,Consola de videojuegos,532494,0.19
1872,Ratón óptico,2174252,0.19
790,Reproductor de DVD/Blu-ray,2025489,0.19
2304,Router inalámbrico,4834118,0.19
2687,Tablet,5294913,0.19
1423,Impresora,7522852,0.19
2088,Máquina de afeitar eléctrica,8623654,0.19
1797,Reproductor de DVD/Blu-ray,5170756,0.19
2915,Smartphone,4151362,0.19
2367,Tablet,1675539,0.19
1463,Plancha de ropa con vapor,8666611,0.19
1795,Sistema de sonido envolvente,3161212,0.19
2862,Plancha de ropa con vapor,1964542,0.19
1622,Auriculares inalámbricos,1696784,0.19
922,Impresora,3876420,0.19
889,Termostato inteligente,4179692,0.19
2994,Altavoces Bluetooth,2144756,0.19
530,Videocámara,7102642,0.19
888,Proyector,9124739,0.19
1030,Ratón óptico,4155322,0.19
191,Router inalámbrico,7410776,0.19
1670,Tablet,7446846,0.19
2392,Linterna LED,1187133,0.19
2469,Kit de realidad virtual (VR),663730,0.19
2530,Disco duro externo,726277,0.19
2051,Disco duro externo,6819370,0.19
562,Teclado mecánico,9276196,0.19
2998,Kit de realidad virtual (VR),3319507,0.19
2896,Smartwatch,1781438,0.19
305,Altavoces Bluetooth,2365846,0.19
2500,Máquina de afeitar eléctrica,1483503,0.19
2573,Dron,7908917,0.19
1689,Auriculares inalámbricos,7292137,0.19
1682,Linterna LED,6165297,0.19
326,Sistema de sonido envolvente,3022956,0.19
197,Tableta gráfica,4906517,0.19
2935,Smartwatch,6042448,0.19
2954,Smartwatch,9708388,0.19
2742,Televisor,4554727,0.19
2422,Dron,1283265,0.19
2152,Videocámara,1626456,0.19
1494,Termostato inteligente,7272674,0.19
2088,Ratón óptico,4288953,0.19
2252,Kit de realidad virtual (VR),6066038,0.19
313,Altavoces Bluetooth,5053056,0.19
1952,Monitor de computadora,7985330,0.19
2548,Reloj inteligente para deportes,8846595,0.19
2723,Altavoces Bluetooth,3218227,0.19
2195,Consola de videojuegos,9350401,0.19
2129,Router inalámbrico,3075479,0.19
2804,Dron,9810296,0.19
2792,Consola de videojuegos,2504376,0.19
1347,Robot aspirador,3240107,0.19
1650,Tablet,1145135,0.19
1151,Linterna LED,4957180,0.19
1160,Auriculares inalámbricos,6175249,0.19
2017,Monitor de computadora,506403,0.19
1496,Smartphone,6871048,0.19
401,Plancha de ropa con vapor,4413839,0.19
809,Plancha de ropa con vapor,4259180,0.19
1819,Laptop,5525203,0.19
1110,Smartwatch,6022542,0.19
657,Auriculares inalámbricos,3466000,0.19
1454,Smartwatch,1375629,0.19
2288,Proyector,2201192,0.19
1611,Disco duro externo,9042723,0.19
1760,Cámara digital,6489439,0.19
2535,Dron,2975874,0.19
1091,Cámara digital,2329505,0.19
1878,Disco duro externo,6994126,0.19
259,Máquina de afeitar eléctrica,6439778,0.19
1902,Tableta gráfica,2614102,0.19
12,Consola de videojuegos,9878167,0.19
2702,Teclado mecánico,2820492,0.19
2906,Máquina de afeitar eléctrica,6855799,0.19
1265,Máquina de afeitar eléctrica,8382653,0.19
935,Router inalámbrico,9325216,0.19
964,Smartwatch,8725591,0.19
166,Cámara digital,8167448,0.19
2274,Termostato inteligente,5244811,0.19
1144,Cámara digital,2479856,0.19
2295,Tablet,2843436,0.19
523,Robot aspirador,7407985,0.19
779,Tablet,8295597,0.19
1383,Tableta gráfica,4835057,0.19
397,Kit de realidad virtual (VR),916116,0.19
1065,Termostato inteligente,6106568,0.19
889,Router inalámbrico,780610,0.19
1190,Kit de realidad virtual (VR),9563268,0.19
1064,Televisor,3595716,0.19
1336,Disco duro externo,7983696,0.19
1166,Televisor,6753310,0.19
1545,Reloj inteligente para deportes,1867932,0.19
2445,Termostato inteligente,5946391,0.19
219,Router inalámbrico,1408096,0.19
1741,Teclado mecánico,7792728,0.19
2537,Cargador inalámbrico,7344724,0.19
1404,Laptop,6133793,0.19
1441,Proyector,3290830,0.19
1559,Laptop,1451720,0.19
363,Disco duro externo,2354424,0.19
2578,Televisor,2412291,0.19
2668,Proyector,638978,0.19
1912,Cargador inalámbrico,8837750,0.19
1284,Dron,4563647,0.19
716,Router inalámbrico,8706042,0.19
1421,Reloj inteligente para deportes,5902889,0.19
340,Robot aspirador,7318033,0.19
1126,Teclado mecánico,1771313,0.19
1093,Impresora,9216540,0.19
2326,Altavoces Bluetooth,1996509,0.19
2189,Auriculares inalámbricos,9497903,0.19
918,Monitor de computadora,2896528,0.19
2233,Smartwatch,7344405,0.19
2684,Cargador inalámbrico,9240609,0.19
2353,Teclado mecánico,2177780,0.19
949,Cargador inalámbrico,1005454,0.19
1715,Tablet,3508133,0.19
2438,Robot aspirador,9944522,0.19
1732,Sistema de sonido envolvente,772515,0.19
2487,Televisor,6226043,0.19
919,Sistema de sonido envolvente,6570951,0.19
776,Sistema de sonido envolvente,6475605,0.19
240,Dron,8129993,0.19
2141,Dron,5409566,0.19
716,Termostato inteligente,1901552,0.19
765,Tablet,5496165,0.19
1770,Monitor de computadora,6313029,0.19
784,Cámara digital,3369870,0.19
2758,Dron,1662358,0.19
1138,Tablet,5485463,0.19
263,Altavoces Bluetooth,7031123,0.19
2097,Altavoces Bluetooth,6828104,0.19
1876,Tablet,2828711,0.19
436,Televisor,4081130,0.19
1883,Linterna LED,2283128,0.19
2216,Reloj inteligente para deportes,8791330,0.19
2031,Máquina de afeitar eléctrica,4857016,0.19
272,Consola de videojuegos,5311995,0.19
1155,Proyector,5212841,0.19
2283,Router inalámbrico,1266240,0.19
1652,Impresora,4056319,0.19
2554,Consola de videojuegos,4716499,0.19
1696,Termostato inteligente,8304118,0.19
1351,Smartwatch,3166128,0.19
759,Dron,5529919,0.19
2681,Consola de videojuegos,5194934,0.19
936,Reloj inteligente para deportes,9307198,0.19
166,Smartwatch,7980692,0.19
310,Router inalámbrico,9928998,0.19
1900,Sistema de sonido envolvente,4070059,0.19
848,Router inalámbrico,6728475,0.19
2099,Plancha de ropa con vapor,4027641,0.19
1654,Kit de realidad virtual (VR),1606595,0.19
1871,Reloj inteligente para deportes,3287220,0.19
747,Tablet,9310202,0.19
1414,Kit de realidad virtual (VR),7485878,0.19
682,Smartwatch,2514672,0.19
1095,Smartphone,1747701,0.19
1607,Sistema de sonido envolvente,2064442,0.19
1922,Smartphone,7386500,0.19
1610,Cargador inalámbrico,6885057,0.19
1661,Plancha de ropa con vapor,8765146,0.19
2892,Smartphone,6027671,0.19
568,Altavoces Bluetooth,8254945,0.19
961,Televisor,9192226,0.19
1892,Videocámara,8395182,0.19
1510,Router inalámbrico,4752327,0.19
1163,Reloj inteligente para deportes,5619761,0.19
2280,Sistema de sonido envolvente,1069739,0.19
2203,Laptop,1874196,0.19
992,Tablet,9494314,0.19
2091,Impresora,1697647,0.19
1720,Impresora,3503232,0.19
1228,Teclado mecánico,1615759,0.19
2080,Termostato inteligente,7514106,0.19
99,Tablet,5926957,0.19
527,Router inalámbrico,7610808,0.19
59,Termostato inteligente,6391315,0.19
1872,Cámara digital,5683430,0.19
1522,Dron,4960313,0.19
687,Plancha de ropa con vapor,1759784,0.19
144,Kit de realidad virtual (VR),4331396,0.19
1042,Linterna LED,8836168,0.19
1632,Laptop,6560695,0.19
2901,Smartphone,7291636,0.19
353,Cargador inalámbrico,4131826,0.19
2903,Laptop,3315312,0.19
2087,Termostato inteligente,5632129,0.19
1761,Monitor de computadora,4321253,0.19
906,Linterna LED,4918450,0.19
184,Ratón óptico,2499352,0.19
2230,Proyector,736090,0.19
2682,Videocámara,1800467,0.19
109,Reproductor de DVD/Blu-ray,595343,0.19
2294,Laptop,5371423,0.19
251,Máquina de afeitar eléctrica,2076918,0.19
625,Sistema de sonido envolvente,2558790,0.19
2966,Consola de videojuegos,2507086,0.19
50,Termostato inteligente,3638525,0.19
1332,Sistema de sonido envolvente,576442,0.19
2986,Reloj inteligente para deportes,2162026,0.19
993,Ratón óptico,688720,0.19
2308,Altavoces Bluetooth,4991432,0.19
393,Dron,5664596,0.19
1514,Consola de videojuegos,6735612,0.19
1423,Reproductor de DVD/Blu-ray,7211972,0.19
2801,Cargador inalámbrico,5048983,0.19
622,Altavoces Bluetooth,9099350,0.19
2242,Altavoces Bluetooth,1092440,0.19
2362,Videocámara,1479755,0.19
1438,Teclado mecánico,4520306,0.19
1709,Batería externa,2667274,0.19
1213,Teclado mecánico,4375686,0.19
2199,Televisor,883108,0.19
2730,Reproductor de DVD/Blu-ray,8560598,0.19
1651,Televisor,5794047,0.19
1101,Consola de videojuegos,5815226,0.19
2805,Reloj inteligente para deportes,9428906,0.19
2166,Reproductor de DVD/Blu-ray,4880862,0.19
643,Tablet,4618114,0.19
1649,Videocámara,8535032,0.19
144,Dron,870773,0.19
1509,Laptop,8317941,0.19
1883,Máquina de afeitar eléctrica,5098664,0.19
1916,Batería externa,9463152,0.19
2504,Máquina de afeitar eléctrica,9384150,0.19
1406,Laptop,2345284,0.19
894,Auriculares inalámbricos,3728825,0.19
1381,Cámara digital,5930709,0.19
197,Cámara digital,1532982,0.19
776,Reloj inteligente para deportes,9338472,0.19
1031,Tablet,2318657,0.19
1036,Monitor de computadora,9360832,0.19
1097,Linterna LED,7989034,0.19
2658,Reloj inteligente para deportes,7774444,0.19
818,Smartwatch,4620819,0.19
2171,Batería externa,7797697,0.19
2266,Máquina de afeitar eléctrica,8520866,0.19
809,Máquina de afeitar eléctrica,7169452,0.19
114,Disco duro externo,6202262,0.19
1164,Reproductor de DVD/Blu-ray,629660,0.19
2795,Batería externa,1666185,0.19
323,Dron,1659736,0.19
1435,Smartphone,5882301,0.19
1244,Monitor de computadora,3371406,0.19
1146,Consola de videojuegos,7809133,0.19
1311,Consola de videojuegos,9685902,0.19
634,Disco duro externo,3774985,0.19
1814,Dron,3531516,0.19
500,Cámara digital,1825232,0.19
2856,Termostato inteligente,7856511,0.19
4,Reloj inteligente para deportes,7185486,0.19
1143,Proyector,7638733,0.19
2582,Impresora,1075616,0.19
214,Robot aspirador,8200570,0.19
1878,Smartwatch,9256444,0.19
1597,Router inalámbrico,9634834,0.19
826,Batería externa,8784238,0.19
2424,Reloj inteligente para deportes,4721014,0.19
1885,Laptop,5887847,0.19
840,Teclado mecánico,3209399,0.19
1537,Kit de realidad virtual (VR),2765700,0.19
1878,Disco duro externo,3732778,0.19
2043,Cargador inalámbrico,9719247,0.19
1711,Smartphone,1627346,0.19
976,Proyector,8032422,0.19
2663,Smartwatch,1432047,0.19
957,Laptop,8225936,0.19
1469,Tablet,8530679,0.19
1479,Televisor,5711430,0.19
687,Laptop,1038189,0.19
2201,Tableta gráfica,6417205,0.19
2272,Cámara digital,8141344,0.19
1283,Ratón óptico,4225251,0.19
2189,Smartwatch,4142820,0.19
1049,Robot aspirador,3838919,0.19
428,Altavoces Bluetooth,9095461,0.19
2508,Reloj inteligente para deportes,7976484,0.19
2166,Máquina de afeitar eléctrica,3431208,0.19
1981,Sistema de sonido envolvente,8423311,0.19
1139,Smartphone,2559836,0.19
1517,Proyector,2317724,0.19
1096,Altavoces Bluetooth,3077278,0.19
2693,Tablet,8123911,0.19
1466,Dron,7984672,0.19
867,Robot aspirador,6181228,0.19
1775,Robot aspirador,981104,0.19
2903,Laptop,5585943,0.19
529,Teclado mecánico,2605197,0.19
1625,Kit de realidad virtual (VR),9828262,0.19
2929,Proyector,7943665,0.19
1168,Router inalámbrico,3393267,0.19
2538,Teclado mecánico,6656051,0.19
889,Linterna LED,8359436,0.19
2287,Router inalámbrico,5172303,0.19
451,Router inalámbrico,2928418,0.19
1897,Smartphone,7936822,0.19
2449,Plancha de ropa con vapor,7223983,0.19
1174,Videocámara,7894555,0.19
6,Cargador inalámbrico,2436443,0.19
244,Altavoces Bluetooth,4360092,0.19
228,Máquina de afeitar eléctrica,8033657,0.19
1900,Proyector,5349145,0.19
2128,Proyector,3936600,0.19
778,Kit de realidad virtual (VR),3294932,0.19
987,Monitor de computadora,3114557,0.19
1152,Dron,859833,0.19
969,Reloj inteligente para deportes,3924908,0.19
1906,Smartphone,6985742,0.19
1504,Ratón óptico,2146597,0.19
2448,Robot aspirador,3703703,0.19
2079,Plancha de ropa con vapor,6652652,0.19
987,Linterna LED,5088600,0.19
1448,Batería externa,9887927,0.19
297,Batería externa,1273491,0.19
2216,Dron,2133449,0.19
2892,Dron,5311920,0.19
886,Monitor de computadora,3553910,0.19
1555,Proyector,1277632,0.19
911,Reloj inteligente para deportes,6007585,0.19
1655,Cámara digital,9862037,0.19
1302,Disco duro externo,7260461,0.19
2370,Smartwatch,9391802,0.19
457,Tableta gráfica,3473859,0.19
411,Televisor,8100649,0.19
1086,Batería externa,571958,0.19
446,Smartphone,6627161,0.19
986,Auriculares inalámbricos,9835992,0.19
2347,Ratón óptico,8001423,0.19
682,Monitor de computadora,2389805,0.19
97,Impresora,3182623,0.19
773,Proyector,700353,0.19
2816,Videocámara,9516812,0.19
371,Consola de videojuegos,7486719,0.19
1936,Cargador inalámbrico,6482559,0.19
171,Smartwatch,8905266,0.19
1380,Reloj inteligente para deportes,2785112,0.19
434,Tableta gráfica,2989074,0.19
965,Linterna LED,6347533,0.19
1010,Batería externa,3894681,0.19
2055,Disco duro externo,1745058,0.19
886,Consola de videojuegos,6540581,0.19
1588,Sistema de sonido envolvente,768527,0.19
1212,Kit de realidad virtual (VR),6229234,0.19
1396,Router inalámbrico,6383069,0.19
1384,Teclado mecánico,7419701,0.19
2633,Router inalámbrico,593797,0.19
1871,Cámara digital,6855615,0.19
1568,Router inalámbrico,2791708,0.19
226,Tableta gráfica,7021163,0.19
851,Router inalámbrico,9929649,0.19
1739,Máquina de afeitar eléctrica,7139837,0.19
1260,Auriculares inalámbricos,5921854,0.19
277,Consola de videojuegos,4829360,0.19
2570,Reloj inteligente para deportes,4323365,0.19
1083,Linterna LED,6032756,0.19
1337,Auriculares inalámbricos,2471191,0.19
89,Monitor de computadora,4111001,0.19
2208,Altavoces Bluetooth,6922375,0.19
306,Videocámara,2814631,0.19
318,Televisor,7129274,0.19
2156,Tablet,9005169,0.19
2415,Router inalámbrico,3658899,0.19
2226,Tablet,8604093,0.19
867,Videocámara,1987037,0.19
1144,Dron,2003553,0.19
2265,Laptop,7833104,0.19
1669,Consola de videojuegos,4687057,0.19
1171,Altavoces Bluetooth,4039910,0.19
2001,Dron,9386949,0.19
2028,Plancha de ropa con vapor,4595129,0.19
525,Plancha de ropa con vapor,5052819,0.19
2348,Robot aspirador,6746303,0.19
253,Smartphone,3704794,0.19
709,Cargador inalámbrico,6378412,0.19
2358,Reproductor de DVD/Blu-ray,5514500,0.19
1557,Disco duro externo,1994994,0.19
1290,Televisor,966511,0.19
639,Linterna LED,7080734,0.19
149,Laptop,9496003,0.19
853,Proyector,6718500,0.19
867,Tableta gráfica,7374520,0.19
65,Proyector,743837,0.19
1655,Auriculares inalámbricos,7234260,0.19
2632,Dron,5811938,0.19
2831,Cámara digital,9720130,0.19
1279,Proyector,3133260,0.19
2229,Ratón óptico,1530035,0.19
902,Altavoces Bluetooth,4851082,0.19
2399,Sistema de sonido envolvente,4219373,0.19
923,Smartphone,1767022,0.19
2736,Linterna LED,3793221,0.19
876,Router inalámbrico,1395173,0.19
2902,Smartphone,749727,0.19
2294,Dron,7294694,0.19
421,Impresora,8451456,0.19
575,Auriculares inalámbricos,537210,0.19
565,Auriculares inalámbricos,8524646,0.19
2510,Laptop,2877875,0.19
2376,Tableta gráfica,816693,0.19
1729,Auriculares inalámbricos,9298134,0.19
2368,Linterna LED,8666884,0.19
2410,Reloj inteligente para deportes,3357265,0.19
598,Consola de videojuegos,1651524,0.19
2290,Altavoces Bluetooth,9182554,0.19
2099,Kit de realidad virtual (VR),3137819,0.19
2139,Dron,5466200,0.19
888,Smartwatch,8931298,0.19
2136,Proyector,3975417,0.19
1442,Robot aspirador,5919129,0.19
1310,Plancha de ropa con vapor,3479908,0.19
2352,Sistema de sonido envolvente,2977815,0.19
669,Cámara digital,3311755,0.19
748,Robot aspirador,2712599,0.19
1850,Tableta gráfica,1682278,0.19
2527,Tablet,3952914,0.19
1398,Máquina de afeitar eléctrica,1537244,0.19
2672,Auriculares inalámbricos,4448650,0.19
939,Dron,8713862,0.19
1183,Linterna LED,1706519,0.19
1244,Tableta gráfica,9969016,0.19
2061,Cámara digital,8153648,0.19
2834,Laptop,5626169,0.19
1071,Kit de realidad virtual (VR),8283337,0.19
2282,Altavoces Bluetooth,3334851,0.19
2869,Robot aspirador,1417054,0.19
410,Robot aspirador,1159509,0.19
472,Consola de videojuegos,9545912,0.19
1726,Ratón óptico,5078333,0.19
1932,Cargador inalámbrico,2798991,0.19
1365,Batería externa,6128537,0.19
404,Reproductor de DVD/Blu-ray,3646131,0.19
1858,Batería externa,3350464,0.19
2165,Cargador inalámbrico,4311439,0.19
1406,Plancha de ropa con vapor,1130457,0.19
2879,Dron,7008985,0.19
2108,Reloj inteligente para deportes,2192691,0.19
373,Smartwatch,1223949,0.19
1492,Dron,5933957,0.19
2351,Televisor,7086244,0.19
1659,Reloj inteligente para deportes,8845409,0.19
1118,Televisor,8448181,0.19
1398,Tablet,5276517,0.19
2883,Kit de realidad virtual (VR),2429557,0.19
2422,Router inalámbrico,8045275,0.19
1973,Consola de videojuegos,8475035,0.19
2691,Router inalámbrico,3122399,0.19
995,Reproductor de DVD/Blu-ray,8446859,0.19
2312,Altavoces Bluetooth,1094834,0.19
1936,Videocámara,8091130,0.19
2457,Impresora,2106312,0.19
1780,Smartwatch,8751314,0.19
1777,Altavoces Bluetooth,2394000,0.19
733,Disco duro externo,1994741,0.19
2113,Tableta gráfica,7880751,0.19
2303,Cámara digital,2767435,0.19
1582,Reproductor de DVD/Blu-ray,7651588,0.19
1266,Batería externa,3721010,0.19
2243,Televisor,8705880,0.19
936,Dron,1385815,0.19
2452,Sistema de sonido envolvente,8197182,0.19
1697,Televisor,9046302,0.19
2697,Auriculares inalámbricos,6204197,0.19
